Topic,Count,Name,Representation,Representative_Docs
16,60,16_halloween_star sign_gift_pumpkin,"['halloween', 'star sign', 'gift', 'pumpkin', 'celebrate', 'christmas', 'saints', 'trick treating', 'meaning behind', 'dates']","['Capricorn weekly horoscope: What your star sign has in store for September 25 – October 1...', 'Horoscope today, Wednesday May 11: Daily guide to what your star sign has in store for your zodiac dates...', 'Horoscope today, Sunday September 25: Daily guide to what your star sign has in store for your zodiac dates...']"
17,60,17_nhs_fire_cancer_sues,"['nhs', 'fire', 'cancer', 'sues', 'downtown', 'drugs', 'hospitals', 'fda', 'shortages', 'pollution']","['US justice department sues two companies over pollution in Louisiana’s ‘Cancer Alley’', ""DOJ sues Louisiana chemical maker over 'cancer alley' risk"", 'Department of Justice sues chemical maker over ‘unacceptable risk’ in Louisiana’s ‘cancer alley’']"
18,50,18_pollen_spring_plague_flies,"['pollen', 'spring', 'plague', 'flies', 'study suggests', 'smell', 'plants', 'lawn', 'pet', 'halloween']","['Melbourne’s apocalyptic spring is back: wake up and smell the pollen', 'Edinburgh graveyard tours: popularity of Halloween, ghost hunting and Harry Potter causing grave issues', 'Washington vet warns dog owners after pup burns off paw pads on hot summer walk']"
19,27,19_mario batali_sexual misconduct_lisa_celebrity,"['mario batali', 'sexual misconduct', 'lisa', 'celebrity', 'chef', 'harvard', 'senate', 'exclusive interview', 'ever female', 'jill scott']","['Celebrity chef Mario Batali acquitted of sexual misconduct', 'Celebrity chef Mario Batali acquitted of sexual misconduct', 'Celebrity chef Mario Batali acquitted of sexual misconduct']"
20,25,20_nasa_launch_rocket_scraps,"['nasa', 'launch', 'rocket', 'scraps', 'delays', 'solar', 'asteroide', 'cornwall', 'photographer', 'storm expected']","['NASA cancels moon rocket launch for 3rd time due to possible hurricane', 'NASA delays moon rocket launch due to potential hurricane', ""Storm Ian delays launch of Nasa's Artemis I Moon rocket""]"
21,22,21_classes_oxford_best online_resources,"['classes', 'oxford', 'best online', 'resources', 'tips', 'writing', 'adobe', 'prof', 'saving', 'stem']","['10 online classes to take if you want to be more politically active — most are free to audit', '10 online classes and resources that will help you argue, reason, and debate better', ""The 22 best online courses to learn Adobe Suite programs, whether you're new to Photoshop or want to become an After Effects pro""]"
22,21,22_driver_collision_truck_cyclist,"['driver', 'collision', 'truck', 'cyclist', 'cliff', 'dukes hazzard', 'lynn', 'overpass', 'crash', 'longest']","[""Man dies in King's Lynn industrial incident, Norfolk Police confirm"", 'Texas tractor trailer truck careens off overpass, driver killed in fiery crash', 'Vintage Dodge Charger used for Dukes of Hazzard TV show crashes']"
23,18,23_ships_warming_lifts sail_brunswick,"['ships', 'warming', 'lifts sail', 'brunswick', 'oceans', 'fish', 'cdc lifts', 'kayaker', 'hawaii', 'reopen']","['Warming oceans mean smaller baby sharks struggle to survive', 'Ancient texts shed new light on mysterious whale behaviour that ‘captured imagination’', ""CDC lifts no-sail ban for cruise ships, but passengers won't be allowed onboard yet""]"
24,16,24_church england_planet_appeals_robbing,"['church england', 'planet', 'appeals', 'robbing', 'stop four', 'religious freedom', 'experts weigh', 'bishops', 'praise', 'guides']","['Church of England to introduce quota for BAME clergy, leaked report reveals', ""Church of England attacks 'troubling' European court ruling which says employers can ban workers from wearing Christian crosses"", 'Former Oxford college dean and senior cleric to leave Church of England']"
25,12,25_coffee_walk_daily_raise risk,"['coffee', 'walk', 'daily', 'raise risk', 'attack stroke', 'researchers', 'risk heart', 'increased', 'disease', 'minute']","['Got 11 minutes? A daily brisk walk could lower risk for early death.', 'Daily 11-minute walk is enough to slash your risk of dying young, scientists say...', 'Popular artificial sweetener, erythritol, could raise risk of heart attack and stroke: study']"
26,12,26_cancels_floyd_john_white house,"['cancels', 'floyd', 'john', 'white house', 'waters', 'farewell', 'antisemitism', 'gig', 'ukraine putin', 'allegations']","['Pink Floyd founder cancels Poland concerts after war remarks', 'Pink Floyd legend Roger Waters cancels gigs amid uproar after he ‘blamed Ukraine’ for Putin’s bloody war...', 'Pink Floyd founder cancels Poland concerts after remarks blaming ‘extremist’ Ukrainians for setting country on path to war']"
27,5,27_killer_medium_expert_,"['killer', 'medium', 'expert', '', '', '', '', '', '', '']","['Sudoku 5,641 medium', 'Killer sudoku 754', 'Observer killer sudoku']"
28,5,28_puff_warm_chocolate_cheat,"['puff', 'warm', 'chocolate', 'cheat', 'pizza', '', '', '', '', '']","[""Tart deco! Cheat's lemon & lime mojito tart"", 'Tart deco! Pizza puff pastry tart', 'Tart deco! Warm chocolate & caramel tart']"
